bank,arch_seed,input_seed,m,g,readout,method,M,M_clip,N,N_clip,C1_curNL_x_oldLin,C2_oldNL,C3_old_x_old,C4_old3,V4_NLONG,null_q99,saturated_fraction,n_features
development,40000,45000,0.0,0.25,P,ols_raw,-0.009200623456831434,0.0,0.01646818205513419,0.016509741914233156,-0.0031142673840063397,-0.0023767696274949873,-0.0014827522004200971,-0.0024988820120540383,-0.0026038686572006178,0.001247687902870644,0.0,1
development,40000,45000,0.0,0.25,J,ridge,-0.0092006735634592,0.0,0.01646871029012531,0.016510281742574556,-0.0031141287197798593,-0.002376622310069012,-0.0014826191345354448,-0.0024987291667855327,-0.00260384180742973,0.0012476914845583914,0.0,8
development,40000,45000,0.0,0.25,J,ols_std,-0.009200623456831434,0.0,0.016468182055134117,0.016509741914233083,-0.003114267384006303,-0.0023767696274949964,-0.0014827522004200971,-0.0024988820120540483,-0.0026038686572006178,0.001247687902870644,0.0,8
development,40000,45000,0.0,0.25,J,ols_raw,-0.009200623456831434,0.0,0.016468182055134045,0.016509741914233083,-0.003114267384006303,-0.002376769627495006,-0.0014827522004200971,-0.0024988820120540422,-0.0026038686572006178,0.001247687902870644,0.0,8
development,40000,45000,0.0,0.25,ALL,ridge,-0.009200667996162164,0.0,0.01646865161110922,0.016510221775370686,-0.003114144125302578,-0.0023766386773331157,-0.001482633918330843,-0.002498746148108698,-0.002603844789952292,0.0012476910875848552,0.0,17
development,40000,45000,0.0,0.25,ALL,ols_std,-0.009200623456831434,0.0,0.016468182055134117,0.016509741914233083,-0.0031142673840062842,-0.0023767696274949964,-0.0014827522004200733,-0.0024988820120540422,-0.0026038686572006178,0.001247687902870644,0.0,17
development,40000,45000,0.0,0.25,CLS,ridge,-0.0092006735634592,0.0,0.01646871029012531,0.016510281742574556,-0.0031141287197798593,-0.002376622310069012,-0.0014826191345354448,-0.0024987291667855327,-0.00260384180742973,0.0012476914845583914,0.0,8
development,40000,45000,0.0,0.25,CLS,ols_std,-0.009200623456831434,0.0,0.016468182055134117,0.016509741914233083,-0.003114267384006303,-0.0023767696274949964,-0.0014827522004200971,-0.0024988820120540483,-0.0026038686572006178,0.001247687902870644,0.0,8
development,40000,45000,0.0,0.5,R,ridge,-0.010508107286718265,0.0,-0.0012245410992214694,0.0,-0.0027822242292276367,-0.0010893668159904408,-0.0005532354568367996,-0.0014010978540997929,-0.0037173156684370636,-4.7314342716431153e-07,0.0,8
development,40000,45000,0.0,0.5,R,ols_std,-0.010508107286718265,0.0,-0.0012245410992214694,0.0,-0.0027822242292276367,-0.0010893668159904408,-0.0005532354568367996,-0.0014010978540997929,-0.0037173156684370636,-4.7314342716431153e-07,0.0,8
development,40000,45000,0.0,0.5,R,ols_raw,-0.010508107286718265,0.0,-0.0012245410992214694,0.0,-0.0027822242292276367,-0.0010893668159904408,-0.0005532354568367996,-0.0014010978540997929,-0.0037173156684370636,-4.7314342716431153e-07,0.0,8
development,40000,45000,0.0,0.5,P,ridge,-0.009254024582087541,0.0,0.08171058794732504,0.08171058794732504,-0.003478984668640994,-0.002362642459836209,-0.0016411598755668247,-0.002335012255842309,-0.0029525740759220507,0.0014985066600077313,0.0,1
development,40000,45000,0.0,0.5,P,ols_std,-0.009253784928765845,0.0,0.08170836686404111,0.08170836686404111,-0.0034804441196890725,-0.0023637793393880696,-0.0016423555889729896,-0.0023361796254998024,-0.0029533543530141926,0.0014988034851691457,0.0,1
development,40000,45000,0.0,0.5,P,ols_raw,-0.009253784928765845,0.0,0.08170836686404119,0.08170836686404119,-0.0034804441196890725,-0.0023637793393880696,-0.0016423555889729816,-0.0023361796254998007,-0.0029533543530141557,0.0014988034851691457,0.0,1
development,40000,45000,0.0,0.5,J,ridge,-0.00925381487647511,0.0,0.08170864710827781,0.08170864710827781,-0.003480261545273746,-0.002363637138819393,-0.0016422060223304383,-0.002336033600604589,-0.0029532567095310047,0.001498766393863391,0.0,8
development,40000,45000,0.0,0.5,J,ols_std,-0.009253784928765845,0.0,0.08170836686404119,0.08170836686404119,-0.0034804441196890725,-0.0023637793393880605,-0.0016423555889730015,-0.0023361796254997924,-0.0029533543530141926,0.0014988034851691457,0.0,8
development,40000,45000,0.0,0.5,J,ols_raw,-0.009253784928765845,0.0,0.08170836686404119,0.08170836686404119,-0.0034804441196890725,-0.002363779339388051,-0.0016423555889729855,-0.0023361796254998007,-0.0029533543530141926,0.0014988034851691457,0.0,8
development,40000,45000,0.0,0.5,ALL,ridge,-0.00925381154882505,0.0,0.08170861600687158,0.08170861600687158,-0.003480281829300278,-0.0023636529376031834,-0.001642222639399766,-0.002336049824129113,-0.002953267557270193,0.0014987705152864495,0.0,17
development,40000,45000,0.0,0.5,ALL,ols_std,-0.009253784928765845,0.0,0.08170836686404115,0.08170836686404115,-0.0034804441196890725,-0.0023637793393880696,-0.0016423555889729855,-0.0023361796254998007,-0.0029533543530141926,0.0014988034851691457,0.0,17
development,40000,45000,0.0,0.5,CLS,ridge,-0.00925381487647511,0.0,0.08170864710827781,0.08170864710827781,-0.003480261545273746,-0.002363637138819393,-0.0016422060223304383,-0.002336033600604589,-0.0029532567095310047,0.001498766393863391,0.0,8
development,40000,45000,0.0,0.5,CLS,ols_std,-0.009253784928765845,0.0,0.08170836686404119,0.08170836686404119,-0.0034804441196890725,-0.0023637793393880605,-0.0016423555889730015,-0.0023361796254997924,-0.0029533543530141926,0.0014988034851691457,0.0,8
development,40000,45000,0.0,0.75,R,ridge,-0.010508107286718265,0.0,-0.0012245410992214694,0.0,-0.0027822242292276367,-0.0010893668159904408,-0.0005532354568367996,-0.0014010978540997929,-0.0037173156684370636,-4.7314342716431153e-07,0.0,8
development,40000,45000,0.0,0.75,R,ols_std,-0.010508107286718265,0.0,-0.0012245410992214694,0.0,-0.0027822242292276367,-0.0010893668159904408,-0.0005532354568367996,-0.0014010978540997929,-0.0037173156684370636,-4.7314342716431153e-07,0.0,8
development,40000,45000,0.0,0.75,R,ols_raw,-0.010508107286718265,0.0,-0.0012245410992214694,0.0,-0.0027822242292276367,-0.0010893668159904408,-0.0005532354568367996,-0.0014010978540997929,-0.0037173156684370636,-4.7314342716431153e-07,0.0,8
development,40000,45000,0.0,0.75,P,ridge,-0.009667988061751651,0.0,0.17998085430155322,0.17998085430155322,-0.004682568451299486,-0.002276503669053307,-0.0017563777543076673,-0.0022548851175738555,-0.003935259259239636,0.0023068979759738,0.0,1
development,40000,45000,0.0,0.75,P,ols_std,-0.009668180665337145,0.0,0.17998451259265136,0.17998451259265136,-0.004684929044673214,-0.0022775581339541154,-0.0017576461236405835,-0.0022560280069332072,-0.003936883644661974,0.002308241917351958,0.0,1
development,40000,45000,0.0,0.75,P,ols_raw,-0.009668180665337145,0.0,0.17998451259265144,0.17998451259265144,-0.0046849290446732235,-0.002277558133954106,-0.0017576461236405835,-0.002256028006933219,-0.003936883644661993,0.002308241917351958,0.0,1
development,40000,45000,0.0,0.75,J,ridge,-0.009668156544478659,0.0,0.17998406005649117,0.17998406005649117,-0.004684633761166253,-0.002277426241961885,-0.001757487470179227,-0.0022558850425260157,-0.003936680421413115,0.0023080738624724688,0.0,8
development,40000,45000,0.0,0.75,J,ols_std,-0.009668180665337114,0.0,0.17998451259265133,0.17998451259265133,-0.004684929044673214,-0.0022775581339540413,-0.0017576461236405597,-0.0022560280069332072,-0.003936883644661937,0.002308241917351958,0.0,8
development,40000,45000,0.0,0.75,J,ols_raw,-0.009668180665337114,0.0,0.17998451259265136,0.17998451259265136,-0.004684929044673214,-0.002277558133954069,-0.0017576461236405477,-0.002256028006933223,-0.003936883644661937,0.002308241917351958,0.0,8
development,40000,45000,0.0,0.75,ALL,ridge,-0.009668159223932842,0.0,0.17998411040537107,0.17998411040537107,-0.004684666567489236,-0.0022774408954436922,-0.0017575050968266662,-0.0022559009260028945,-0.003936702999302062,0.0023080925343583673,0.0,17
