bank,m,g,readout,method,metric,mean,sd,n_seeds
development,0.0,0.25,CLS,ridge,N_long_C1,-0.0049593405222626286,0.0018218454772632926,10
development,0.0,0.25,J,ols_raw,M,-0.004722324084629319,0.0041627735565640004,10
development,0.0,0.25,J,ols_raw,N,0.022771043825746955,0.014286429145768942,10
development,0.0,0.25,J,ols_raw,N_long_C1,-0.004959572278299368,0.0018219270575147142,10
development,0.0,0.25,J,ols_std,M,-0.0047223240846293165,0.004162773556563985,10
development,0.0,0.25,J,ols_std,N,0.02277104382574696,0.014286429145768963,10
development,0.0,0.25,J,ols_std,N_long_C1,-0.004959572278299357,0.0018219270575147077,10
development,0.0,0.25,J,ridge,M,-0.004722190983424913,0.004162717190375299,10
development,0.0,0.25,J,ridge,N,0.02277101626348685,0.014285649058993608,10
development,0.0,0.25,J,ridge,N_long_C1,-0.0049593405222626286,0.0018218454772632926,10
development,0.0,0.25,P,ols_raw,M,-0.004722324084629313,0.004162773556564006,10
development,0.0,0.25,P,ols_raw,N,0.02277104382574698,0.014286429145768963,10
development,0.0,0.25,P,ols_raw,N_long_C1,-0.004959572278299368,0.001821927057514716,10
development,0.0,0.25,P,ols_std,M,-0.004722324084629326,0.004162773556564006,10
development,0.0,0.25,P,ols_std,N,0.022771043825746955,0.014286429145768945,10
development,0.0,0.25,P,ols_std,N_long_C1,-0.004959572278299374,0.0018219270575147114,10
development,0.0,0.25,P,ridge,M,-0.004721259995796025,0.004162322972074272,10
development,0.0,0.25,P,ridge,N,0.02277081762054547,0.014280190829124337,10
development,0.0,0.25,P,ridge,N_long_C1,-0.004957719456435011,0.0018212748417601368,10
development,0.0,0.25,R,ols_raw,M,-0.003714912040205179,0.0037326524614011082,10
development,0.0,0.25,R,ols_raw,N,-0.0031756640967874157,0.0026414051303449153,10
development,0.0,0.25,R,ols_raw,N_long_C1,-0.003079626808742434,0.001144383696280112,10
development,0.0,0.25,R,ols_std,M,-0.003714912040205179,0.0037326524614011082,10
development,0.0,0.25,R,ols_std,N,-0.0031756640967874157,0.0026414051303449153,10
development,0.0,0.25,R,ols_std,N_long_C1,-0.003079626808742434,0.001144383696280112,10
development,0.0,0.25,R,ridge,M,-0.003714912040205179,0.0037326524614011082,10
development,0.0,0.25,R,ridge,N,-0.0031756640967874157,0.0026414051303449153,10
development,0.0,0.25,R,ridge,N_long_C1,-0.003079626808742434,0.001144383696280112,10
development,0.0,0.5,ALL,ols_std,M,-0.004838482099667243,0.004045200203835188,10
development,0.0,0.5,ALL,ols_std,N,0.09081115325033146,0.01872951806718309,10
development,0.0,0.5,ALL,ols_std,N_long_C1,-0.004753004693014255,0.0018643923242494219,10
development,0.0,0.5,ALL,ridge,M,-0.004838357201759555,0.004045153788720537,10
development,0.0,0.5,ALL,ridge,N,0.0908110886771779,0.018728926281092538,10
development,0.0,0.5,ALL,ridge,N_long_C1,-0.004752810408136545,0.001864313702173365,10
development,0.0,0.5,CLS,ols_std,M,-0.004838482099667247,0.004045200203835195,10
development,0.0,0.5,CLS,ols_std,N,0.09081115325033146,0.0187295180671831,10
development,0.0,0.5,CLS,ols_std,N_long_C1,-0.00475300469301426,0.0018643923242494197,10
development,0.0,0.5,CLS,ridge,M,-0.0048383415910045625,0.004045147987504271,10
