bank,m,g,readout,method,metric,mean,sd,n_seeds
development,0.0,0.25,P,ridge,M,-0.0037430947564411196,0.003687624145426265,10
development,0.0,0.25,P,ridge,N,0.7161256932276305,0.09877838179886249,10
development,0.0,0.25,P,ridge,N_long_C1,-0.008528569408045649,0.007752853057832795,10
development,0.0,0.25,R,ols_raw,M,-0.002920768685716067,0.0030427138417092234,10
development,0.0,0.25,R,ols_raw,N,-0.0024833270677341868,0.0029030285216892406,10
development,0.0,0.25,R,ols_raw,N_long_C1,-0.004483465584648413,0.003432213874328252,10
development,0.0,0.25,R,ols_std,M,-0.0029207686857192043,0.0030427138417147936,10
development,0.0,0.25,R,ols_std,N,-0.0024833270677326177,0.0029030285216884054,10
development,0.0,0.25,R,ols_std,N_long_C1,-0.004483465584647425,0.003432213874327296,10
development,0.0,0.25,R,ridge,M,-0.0029206274688382545,0.0030426714179880776,10
development,0.0,0.25,R,ridge,N,-0.002483210023835632,0.0029028708799751523,10
development,0.0,0.25,R,ridge,N_long_C1,-0.004483203879995642,0.0034320374470827226,10
development,0.0,0.5,ALL,ols_std,M,-0.006352324218292196,0.0039640920334080496,10
development,0.0,0.5,ALL,ols_std,N,1.0,0.0,10
development,0.0,0.5,ALL,ols_std,N_long_C1,-0.013947096909132789,0.012218127958692546,10
development,0.0,0.5,ALL,ridge,M,-0.005711644658866994,0.00405909141179712,10
development,0.0,0.5,ALL,ridge,N,0.9992096265204958,0.0003578454854894367,10
development,0.0,0.5,ALL,ridge,N_long_C1,-0.012653994425640516,0.01147371531489732,10
development,0.0,0.5,CLS,ols_std,M,-0.006352324218384461,0.003964092033520017,10
development,0.0,0.5,CLS,ols_std,N,1.0,0.0,10
development,0.0,0.5,CLS,ols_std,N_long_C1,-0.013947096909144368,0.012218127958698054,10
development,0.0,0.5,CLS,ridge,M,-0.0058430167748498695,0.004026886069568859,10
development,0.0,0.5,CLS,ridge,N,0.999596335452144,0.0002528245768643165,10
development,0.0,0.5,CLS,ridge,N_long_C1,-0.012947884295870285,0.01166005708844116,10
development,0.0,0.5,J,ols_raw,M,-0.00635232421838443,0.0039640920335199765,10
development,0.0,0.5,J,ols_raw,N,1.0,0.0,10
development,0.0,0.5,J,ols_raw,N_long_C1,-0.013947096909144363,0.012218127958698113,10
development,0.0,0.5,J,ols_std,M,-0.00635232421838452,0.003964092033520014,10
development,0.0,0.5,J,ols_std,N,1.0,0.0,10
development,0.0,0.5,J,ols_std,N_long_C1,-0.013947096909144297,0.012218127958697903,10
development,0.0,0.5,J,ridge,M,-0.005656016697844722,0.004063845350014685,10
development,0.0,0.5,J,ridge,N,0.9988466099427022,0.00047741921576292947,10
development,0.0,0.5,J,ridge,N_long_C1,-0.012545145998239693,0.011413141886408793,10
development,0.0,0.5,P,ols_raw,M,-0.00558564333224462,0.004130969009783608,10
development,0.0,0.5,P,ols_raw,N,1.0,0.0,10
development,0.0,0.5,P,ols_raw,N_long_C1,-0.011866542031255886,0.010851553607435574,10
development,0.0,0.5,P,ols_std,M,-0.00558564333224462,0.004130969009783571,10
development,0.0,0.5,P,ols_std,N,1.0,0.0,10
development,0.0,0.5,P,ols_std,N_long_C1,-0.01186654203125583,0.010851553607435624,10
development,0.0,0.5,P,ridge,M,-0.004528938630338158,0.004090979250769754,10
development,0.0,0.5,P,ridge,N,0.9090488697717051,0.05327927122061055,10
development,0.0,0.5,P,ridge,N_long_C1,-0.010313426644802944,0.009833388129781115,10
development,0.0,0.5,R,ols_raw,M,-0.002920768685716067,0.0030427138417092234,10
development,0.0,0.5,R,ols_raw,N,-0.0024833270677341868,0.0029030285216892406,10
development,0.0,0.5,R,ols_raw,N_long_C1,-0.004483465584648413,0.003432213874328252,10
development,0.0,0.5,R,ols_std,M,-0.0029207686857192043,0.0030427138417147936,10
development,0.0,0.5,R,ols_std,N,-0.0024833270677326177,0.0029030285216884054,10
development,0.0,0.5,R,ols_std,N_long_C1,-0.004483465584647425,0.003432213874327296,10
development,0.0,0.5,R,ridge,M,-0.0029206274688382545,0.0030426714179880776,10
development,0.0,0.5,R,ridge,N,-0.002483210023835632,0.0029028708799751523,10
development,0.0,0.5,R,ridge,N_long_C1,-0.004483203879995642,0.0034320374470827226,10
development,0.0,0.75,ALL,ols_std,M,-0.00635232421832041,0.003964092033440988,10
development,0.0,0.75,ALL,ols_std,N,1.0,0.0,10
development,0.0,0.75,ALL,ols_std,N_long_C1,-0.013947096909142734,0.012218127958696279,10
development,0.0,0.75,ALL,ridge,M,-0.006025554219931641,0.004022883043158524,10
development,0.0,0.75,ALL,ridge,N,0.9998825235823062,6.025872310408247e-05,10
development,0.0,0.75,ALL,ridge,N_long_C1,-0.013274575522426644,0.011868917853964737,10
development,0.0,0.75,CLS,ols_std,M,-0.006352324218384493,0.003964092033519949,10
development,0.0,0.75,CLS,ols_std,N,1.0,0.0,10
development,0.0,0.75,CLS,ols_std,N_long_C1,-0.013947096909144344,0.012218127958698054,10
