bank,arch_seed,input_seed,m,g,readout,method,M,M_clip,N,N_clip,C1_curNL_x_oldLin,C2_oldNL,C3_old_x_old,C4_old3,V4_NLONG,null_q99,saturated_fraction,n_features
development,20000,30000,0.0,0.25,P,ols_std,-0.0029708432853670563,0.0009805143162231308,1.0,1.0,-0.009099633910641308,-0.005147739044787737,-0.008679470114562104,-0.009207692212142668,-0.005836210955441863,0.004162140887734119,0.017543859649122806,12
development,20000,30000,0.0,0.25,P,ols_raw,-0.002970843285367183,0.0009805143162231942,1.0,1.0,-0.009099633910641483,-0.005147739044787704,-0.008679470114562335,-0.009207692212142501,-0.005836210955441956,0.004162140887733579,0.017543859649122806,12
development,20000,30000,0.0,0.25,J,ridge,-0.002948460093090244,0.0008512262141042091,0.9930856738863065,0.9930856738863065,-0.008904593096337057,-0.004861600145771495,-0.00831687867812014,-0.008887191144015502,-0.0055076143484186395,0.004149357012986267,0.013157894736842105,72
development,20000,30000,0.0,0.25,J,ols_std,-0.005285910178124377,0.0,1.0,1.0,-0.01103564855403219,-0.005865188252731792,-0.009961949819847207,-0.009644122216296942,-0.005240159331758643,0.004559932444465416,0.017543859649122806,72
development,20000,30000,0.0,0.25,J,ols_raw,-0.0052859101781236794,0.0,1.0,1.0,-0.011035648554031857,-0.005865188252731297,-0.009961949819847049,-0.009644122216296609,-0.005240159331758494,0.0045599324444649345,0.017543859649122806,72
development,20000,30000,0.0,0.25,ALL,ridge,-0.002998759749974021,0.0008339738496847073,0.9951173846769924,0.9951173846769924,-0.008977925363460731,-0.004897608848927325,-0.008397897501556003,-0.00892213897608436,-0.005496108278388885,0.00415012896684957,0.013157894736842105,95
development,20000,30000,0.0,0.25,ALL,ols_std,-0.005285910178163171,0.0,1.0,1.0,-0.011035648554020552,-0.005865188252709698,-0.00996194981982268,-0.009644122216327891,-0.005240159331680779,0.004559932444800246,0.017543859649122806,95
development,20000,30000,0.0,0.25,CLS,ridge,-0.00322172701020965,0.0006793098306230475,0.9969814043638193,0.9969814043638193,-0.009187993995076055,-0.0049868067454561515,-0.008608194816074792,-0.008956418985064999,-0.005294148138776729,0.004127364562985308,0.013157894736842105,132
development,20000,30000,0.0,0.25,CLS,ols_std,-0.005285910178124472,0.0,1.0,1.0,-0.011035648554032348,-0.005865188252731903,-0.00996194981984733,-0.009644122216296763,-0.005240159331758772,0.0045599324444660925,0.017543859649122806,132
development,20000,30000,0.0,0.5,R,ridge,-0.0009626280786888383,0.0004589716178261697,-0.0014792519646790552,0.0,-0.0056779212363266,-0.0015239388831213886,-0.003710229983937651,-0.00581447506913053,-0.007382722246823663,0.002848857284982572,0.0043859649122807015,11
development,20000,30000,0.0,0.5,R,ols_std,-0.0009627007477807568,0.0004589733850109491,-0.0014793787757193904,0.0,-0.005678114832629903,-0.0015240915732516874,-0.003710447610538324,-0.00581462753217238,-0.007382874645637101,0.0028489520741112884,0.0043859649122807015,11
development,20000,30000,0.0,0.5,R,ols_raw,-0.0009627007477869107,0.00045897338500498563,-0.0014793787757168737,0.0,-0.005678114832635907,-0.0015240915732520066,-0.003710447610539303,-0.005814627532170676,-0.007382874645649851,0.002848952074110924,0.0043859649122807015,11
development,20000,30000,0.0,0.5,P,ridge,-0.002714733995289336,0.0007858392283303413,0.820931253768415,0.820931253768415,-0.00782792522655551,-0.004118168831033535,-0.0067747437818589384,-0.008050652077727111,-0.0061814340191409895,0.005023290777215817,0.008771929824561403,12
development,20000,30000,0.0,0.5,P,ols_std,-0.0029708432853670246,0.000980514316223226,1.0,1.0,-0.009099633910641327,-0.005147739044787676,-0.008679470114562216,-0.00920769221214257,-0.005836210955441827,0.004162140887733981,0.017543859649122806,12
development,20000,30000,0.0,0.5,P,ols_raw,-0.0029708432853670246,0.0009805143162232577,1.0,1.0,-0.009099633910641355,-0.005147739044787714,-0.008679470114562262,-0.009207692212142573,-0.005836210955441882,0.004162140887733759,0.017543859649122806,12
development,20000,30000,0.0,0.5,J,ridge,-0.0034478996157190395,0.0005684370344869778,0.9989068576809399,0.9989068576809399,-0.009386024114543737,-0.0050393644403314425,-0.00876014345028144,-0.008996392363861664,-0.0053251414732425895,0.0041082690751601154,0.017543859649122806,72
development,20000,30000,0.0,0.5,J,ols_std,-0.005285910178124282,0.0,1.0,1.0,-0.011035648554032431,-0.005865188252731607,-0.009961949819847092,-0.009644122216296793,-0.005240159331758494,0.004559932444466421,0.017543859649122806,72
