seed,classical_M,classical_NL,quantum_M,quantum_NL
0,6.8551963662134145,3.5615485935953886,5.725962519985044,7.891687494715424
1,6.984828986504954,4.552672341160507,5.668375548089856,6.176661625426848
2,6.950103520888689,5.104478022116654,5.534949907054999,4.508131021819328
