ablation,M_mean,M_std,NL_mean,NL_std,n_qubits,n_ancilla,n_features
monolithic_qrc,5.346358668520674,0.2596191403841819,5.246254994200036,0.598573152062845,6,0,132
monolithic_qrc_at_eoc,5.34439869333697,0.2578973677620664,5.410126509578983,0.7192356784612928,6,0,132
classical_delay_control,7.0,0.0,0.568741002282372,0.028653237693369915,0,0,11
memory_only,3.030364670602168,0.12323828579354501,0.3887788162629446,0.025118191173531812,6,0,15
processor_only_at_eoc,5.310431207057139,0.41497046059377274,4.2879742120190105,0.44528839168252143,5,0,93
dqrc_no_stitch,3.973591704616419,0.43574407505981716,0.6774814852240799,0.38917553998358756,6,0,51
dqrc_with_stitch,4.414725711470728,0.037918695751689935,1.073187944754491,0.24592057587429977,6,1,51
dqrc_randomized_processor,4.207441733469663,0.012055536954161727,0.7524888329499724,0.06075238845877401,6,0,51
