metric,mean_or_diff,ci_lo,ci_hi
hv_baseline,22.73923443382182,20.46542754298907,25.01304132465457
hv_dqrc,3.560841161259318,3.405379539706757,3.7163027828118786
hv_diff_dqrc_minus_baseline,-19.178393272562502,-21.607661784947812,-16.74912476017719
n_outside_of_total,0,8,
