case,M,NL,rank,condition_number,mean_feature_variance,mean_abs_pairwise_correlation
standalone,6.204919883855156,6.2314858995102265,249,428308.78194559086,0.00233810913113606,0.18406647565500442
embedded_disconnected,0.06060041921562897,0.3107863611157963,249,50103.26067451428,0.029177644666547087,0.06926974610133817
embedded_connected,2.154855943984951,0.8207475251555416,249,5798942.854878585,0.0005284929734838918,0.2561214612168142
