seed,M_mem_standalone,NL_proc_standalone,M_combined,NL_combined,eta_M_combined,eta_NL_combined,eta_NL_proc_only
0,2.0,3.6853097702113167,5.725962519985044,7.891687494715424,2.862981259992522,2.141390544291454,2.2100333744903886
1,2.0,4.467533882658037,5.668375548089856,6.176661625426848,2.834187774044928,1.382566263101722,1.3850246957287222
2,2.073917952455756,5.122971359470394,5.534949907054999,4.508131021819328,2.668837453526542,0.8799836472803106,0.7731418401791218
