metric,value_or_mean,ci_lo,ci_hi
hv_baseline,46.16965855536139,39.62561893928363,51.26927213359969
hv_dqrc,35.415120594176976,24.952279380210644,45.18750681417519
hv_diff,-10.754537961184411,-21.303191647767527,-0.12824441842420242
n_outside_of_total,1,9,
