case,qubits,ancilla,n_features,M,NL,rank
no_stitch_NP5,7,0,171,3.4409204603630767,0.7054987975627487,171
stitch_2plus3,8,1,210,3.262249309653833,0.7601197653228099,54
no_stitch_NP4,6,0,132,3.272189324436614,0.3497979115902746,132
