feature_group,n_features,M,NL
A_memory_only,3,1.459024130218968,0.18684065251384704
B_processor_only,375,2.154855943984951,0.8207475251555416
C_mem_plus_proc,378,2.445892943871294,0.7908654983945524
D_mem_proc_cross,382,2.5555456590604333,0.7782193059973673
