J,M_legacy,M_null,M_raw,M_signed,NL0_legacy,NL0_null,NL0_raw,NL0_signed,accepted,bootstrap,ceiling_fraction,disorder,effective_rank,fraction_of_ceiling,g,hamiltonian,input_idx,input_sequence,m,module,null_surrogate,projection,regression_split,rejection_reasons,reservoir_idx,seed_stage,shot_noise,variant
0.050795879960060124,,,,,1.0,0.5792956064091118,2.0,1.420704393590888,False,1609948964,,3132541614,1.5600236280501387,1.0,0.15821615271270276,3925936706,0,2259213028,,processor,210701233,2043167552,620577160,ceiling_contaminated;outside_interior_margin,-201,discovery,3451604904,P0
0.050795879960060124,,,,,1.0,0.6488408997233752,2.0,1.3511591002766248,False,1082049715,,882528859,1.4943120898981912,1.0,0.15821615271270276,1924357750,0,1112060594,,processor,1754618607,3303685041,1173207428,ceiling_contaminated;outside_interior_margin,-202,discovery,1386944006,P0
0.941547115566209,,,,,1.0,0.622526572692045,2.0,1.377473427307955,False,1609948964,,3132541614,1.6404084861012502,1.0,0.7703827943652868,3925936706,0,2259213028,,processor,210701233,2043167552,620577160,ceiling_contaminated,-201,discovery,3451604904,P0
0.941547115566209,,,,,1.0,0.6466324725866534,2.0,1.3533675274133468,False,1082049715,,882528859,1.5741313214049377,1.0,0.7703827943652868,1924357750,0,1112060594,,processor,1754618607,3303685041,1173207428,ceiling_contaminated,-202,discovery,1386944006,P0
0.6063515543937683,,,,,1.0,0.5754158394329554,2.0,1.4245841605670446,False,1609948964,,3132541614,1.918942950366159,1.0,1.349499568529427,3925936706,0,2259213028,,processor,210701233,2043167552,620577160,ceiling_contaminated;outside_interior_margin,-201,discovery,3451604904,P0
0.6063515543937683,,,,,1.0,0.6535254309271732,2.0,1.3464745690728268,False,1082049715,,882528859,1.8036894544183675,1.0,1.349499568529427,1924357750,0,1112060594,,processor,1754618607,3303685041,1173207428,ceiling_contaminated;outside_interior_margin,-202,discovery,1386944006,P0
1.0641055221203715,,,,,1.0,0.5498212321530423,2.0,1.4501787678469578,False,1609948964,,3132541614,1.864461484206849,1.0,1.2310770509764553,3925936706,0,2259213028,,processor,210701233,2043167552,620577160,ceiling_contaminated;outside_interior_margin,-201,discovery,3451604904,P0
1.0641055221203715,,,,,1.0,0.6396585141981296,2.0,1.3603414858018705,False,1082049715,,882528859,1.76062219806707,1.0,1.2310770509764553,1924357750,0,1112060594,,processor,1754618607,3303685041,1173207428,ceiling_contaminated;outside_interior_margin,-202,discovery,1386944006,P0
0.4635924244299531,,,,,1.0,0.5828869163008099,2.0,1.41711308369919,False,1609948964,,3132541614,1.5937109989613552,1.0,0.5387839652597904,3925936706,0,2259213028,,processor,210701233,2043167552,620577160,ceiling_contaminated,-201,discovery,3451604904,P0
0.4635924244299531,,,,,1.0,0.6441786374902015,2.0,1.3558213625097983,False,1082049715,,882528859,1.5308080108980053,1.0,0.5387839652597904,1924357750,0,1112060594,,processor,1754618607,3303685041,1173207428,ceiling_contaminated,-202,discovery,1386944006,P0
0.901327382447198,,,,,0.0,0.6005573949781526,1.0838255380862016,0.483268143108049,True,1609948964,,3132541614,1.489125427703179,0.5419127690431008,0.9109639870002865,3925936706,0,2259213028,,processor,210701233,2043167552,620577160,,-201,discovery,3451604904,P1
0.901327382447198,,,,,0.0,0.5975635065750734,1.046381456026137,0.4488179494510638,True,1082049715,,882528859,1.4223773392480732,0.5231907280130685,0.9109639870002865,1924357750,0,1112060594,,processor,1754618607,3303685041,1173207428,,-202,discovery,1386944006,P1
0.050795879960060124,,,,,0.0,0.6005573954362515,1.083825538309203,0.48326814287295156,False,1609948964,,3132541614,1.4892873648128915,0.5419127691546015,0.15821615271270276,3925936706,0,2259213028,,processor,210701233,2043167552,620577160,outside_interior_margin,-201,discovery,3451604904,P1
0.050795879960060124,,,,,0.0,0.5976359458984383,1.0463813219982832,0.44874537609984483,False,1082049715,,882528859,1.4235990474577713,0.5231906609991416,0.15821615271270276,1924357750,0,1112060594,,processor,1754618607,3303685041,1173207428,outside_interior_margin,-202,discovery,1386944006,P1
0.941547115566209,,,,,0.0,0.6005573949807297,1.0838255380865245,0.48326814310579486,True,1609948964,,3132541614,1.489195533298105,0.5419127690432622,0.7703827943652868,3925936706,0,2259213028,,processor,210701233,2043167552,620577160,,-201,discovery,3451604904,P1
0.941547115566209,,,,,0.0,0.5975635111496299,1.0463814560106686,0.4488179448610386,True,1082049715,,882528859,1.4228855770462696,0.5231907280053343,0.7703827943652868,1924357750,0,1112060594,,processor,1754618607,3303685041,1173207428,,-202,discovery,1386944006,P1
0.6063515543937683,,,,,0.0,0.6005573949800972,1.0838255380863455,0.4832681431062482,False,1609948964,,3132541614,1.4890178064657518,0.5419127690431728,1.349499568529427,3925936706,0,2259213028,,processor,210701233,2043167552,620577160,outside_interior_margin,-201,discovery,3451604904,P1
0.6063515543937683,,,,,0.0,0.5975635083104943,1.0463814560227336,0.4488179477122392,False,1082049715,,882528859,1.4215635642239497,0.5231907280113668,1.349499568529427,1924357750,0,1112060594,,processor,1754618607,3303685041,1173207428,outside_interior_margin,-202,discovery,1386944006,P1
1.0641055221203715,,,,,0.0,0.6005573949788181,1.0838255380862025,0.48326814310738425,False,1609948964,,3132541614,1.489040662842615,0.5419127690431013,1.2310770509764553,3925936706,0,2259213028,,processor,210701233,2043167552,620577160,outside_interior_margin,-201,discovery,3451604904,P1
1.0641055221203715,,,,,0.0,0.5975635038864472,1.0463814560274203,0.4488179521409731,False,1082049715,,882528859,1.4217554436442021,0.5231907280137101,1.2310770509764553,1924357750,0,1112060594,,processor,1754618607,3303685041,1173207428,outside_interior_margin,-202,discovery,1386944006,P1
0.4635924244299531,,,,,0.0,0.6005573949786966,1.083825538087483,0.48326814310878635,True,1609948964,,3132541614,1.4892409482448437,0.5419127690437415,0.5387839652597904,3925936706,0,2259213028,,processor,210701233,2043167552,620577160,,-201,discovery,3451604904,P1
0.4635924244299531,,,,,0.0,0.5975635137895795,1.0463814559814286,0.44881794219184923,True,1082049715,,882528859,1.4232410724651168,0.5231907279907143,0.5387839652597904,1924357750,0,1112060594,,processor,1754618607,3303685041,1173207428,,-202,discovery,1386944006,P1
